	../variants/ENV_COV_24_2080_S7.tsv
summarized	[('KP.3* (KP.3.X)', 0.3348362447691468), ('KP.3.1.1* (KP.3.1.1.X)', 0.33333519152367797), ('BA.2.86* (BA.2.86.X)', 0.28137042004548857), ('LB.1* (LB.1.X)', 0.043003432625198325), ('KP.2* (KP.2.X)', 0.004905493624056757), ('XEC* (XEC.X)', 0.0012927732893546814), ('Other', 0.000675624925348527), ('JN.1.18* (JN.1.18.X)', 0.00058056389072344), ('Omicron', 0.00030444358544596444), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 3.577843678647883e-05), ('XBB* (XBB.X)', 3.1825290899573636e-05), ('Delta', 3.142132750191064e-05), ('CH.1.1* [Omicron (CH.1.1.X)]', 2.5928073455833274e-05), ('BA.2.75* [Omicron (BA.2.75.X)]', 1.2594411322564613e-05), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 9.835260760892506e-06), ('XBB.2.3* (XBB.2.3.X)', 9.718861021713823e-06), ('EG.5* [Omicron (EG.5.X)]', 8.616076131527108e-06), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 7.984870215402073e-06), ('LP.8.1* (LP.8.1.X)', 6.2480739318091315e-06), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 4.992356195313962e-06), ('Beta', 2.9847498338670697e-06), ('Gamma', 2.3318016503919074e-06), ('A', 2.2954423651895227e-06), ('Alpha', 2.2615566816662507e-06), ('JN.1.7* (JN.1.7.X)', 9.437153824164464e-07), ('Eta', 7.155059084747229e-07), ('Mu', 4.951975911317334e-07), ('Iota', 2.4917671472532003e-07)]
lineages	MC.1.4 JN.1.68 KP.3.3.8 KP.3.4 KP.3.1 MC.5 JN.1.52 MD.3.1 LB.1.1 MC.21 KP.3.2.4 LF.9 KP.3.3.4 JN.1.32 JN.1.16.3 KP.2.3.2 KP.2.25.2 XEC.25 MC.1.5 JN.1.66 JN.1.18.4 JN.1.65 LF.1 KP.2.16 MD.2 KP.3.3.10 NS.1 XEC.28 JN.1.4.8 JN.1.48.2 KP.3.3.6 KP.3.1.8 NH.4 JN.1.54.1 MC.32 MC.1.6 KP.2.15.1 JN.1.18.9 XEC.14.1 XDR XDP JN.1.63 XEK.2 MR.1 JN.1.59.1 JN.1.53.1 JN.1.31 BA.2.3.4 MC.13.2 MC.13 MU.2.1.1 LP.4 BF.40 KP.3.1.4 MC.13.1 JN.1.4.6 L.1 BE.2 XDD.1 XDD XEB AY.22 B.1.350.1 CN.2 XBB.1.35 CH.1.1.9 GK.1.10 BC.1 MC.28 BA.2.53 JN.1.53 NF.1.3 MG.2 B.1.466.1 LF.4 KP.3.1.11 EG.6.1.1 XEC.4.4 JN.1.46 CZ.1 XDL GM.3.1 KP.3 BW.1 XEC.8 FD.3 BN.1.4.5 JN.1.9.1 EG.5.2 KJ.1 CH.1.1.30 XFH.1 BA.4.1.8 PP.2.1 MD.1.2 MD.1.1.1 KP.3.3 CM.8.1.2 B.1.1.413 XEC.2.6 XDV.1.1 JD.1.1.3 XDS BA.5.1.15 LW.1.1 B.4.2 KP.5 XEC.18 B.1.160.18 B.1.1.357 JN.1.47 XEC.8.1 EG.2.1 BA.2.70 B.1.351 Q.4 B.1.595.3 BF.5.4 HK.3.10 XFA XEF.3 B.1.404 KP.3.4.1 BF.7.19.1 NL.3.1 AY.13 BM.1.1.5 XEC.11 MC.26 XFJ.2 PJ.1 KP.3.3.3 XED XEG GW.1 GN.1.4 B.1.36.26 GU.1 DF.1 B.1.242 XCL KS.2 B.1.258.5 XCF.1 B.1.428.2 AY.28 MC.13.2.1 KP.2.22 B.1.474 GK.1.10.1 BE.1.3 BF.7.14.1 XK BT.2 LB.1.3.3 MC.13.4 KN.1 XBB.1.5.51 N.10 XCF.3 BQ.1.8 BG.3 LZ.2.2 B.1.1.441 JN.1.19 B.1.611 MA.1.2 LS.1 HH.6 XEC KP.4.1.3 XBB.1.16.31 MC.31 XDY.3 KP.2.3.14 JN.1.1.1 BQ.1.1.12 GA.2.1.1 BQ.1.15 KP.2.12 GW.3 B.1.476 BF.25 BF.9 BA.2.3.16 AV.1 XDD.2 JN.1.37 XBJ.3 KP.3.1.6 XFG.1 AM.3 P.1.9 JN.1.58.1 LF.5 B.1.1.373 BR.5.1 B.1.618 B.1.625 B.1.1.344 JN.1.47.2 LD.2 XDD.3 LP.8.1.8 KV.2 BQ.1.9 XEC.36 AY.25.1.1 DL.1 PG.5 EP.1.1 MD.3.1.1 LP.8.2.1 DN.1.1.1 C.21 R.2 B.1.596 MC.11.3.1 XBB.1.24.2 B.1.346 FY.1.2.1 XDU XCM LR.3 BQ.1.1.25 FL.39.1 KM.1 XBB.1.41.2 JN.1.7.9 B.6 XAC KG.2 B.1.525 MC.30.1.1 BA.2.3.17 JN.1.35 B.1.177.85 BA.2.3.6 NB.1.5 HW.1.1 JN.1.39.1 AY.43.4 BF.7.13.2 B.1.177.87 XBB.1.2 B.1.1.4 CH.1.1.18 B.1.551 XBB.1.5.98 XEW KP.2.3.6 BR.5 FL.4.6 P.1.8 MC.26.1 JN.1.32.1 KP.2.3.4 B.1.258.7 LB.1.3.4 NZ.1 B.1.1.346 NM.1 CH.1.1.2 MC.28.1 NS.2 MD.3.1.2 KC.1 KP.3.3.7 FW.3 LF.9.1 AM.4 B.1.591 GP.3 AY.15 C.12 FL.1.8 GQ.1 C.29 B.1.177.26 BA.5.3.2 BA.2.9.7 LP.8.1.11 B.1.221.3 B.1.351.5 XBB.2.7.1 XCA XEC.27 JN.1.3 XET B.1.1.461 GA.4.3 XBB.1.16.28 XAZ HC.1 AE.6 CM.8.1.5 FQ.1 NP.1 XDA.1 KP.4.2.5 LF.8.1 XEP.3 AY.73 LU.2.1.1 B.1.415.1 BA.2.83 FK.1.3.2 DS.3 GL.3 B.1.1.286 MM.1 B.1.621.2 FJ.1 HU.1.1 B.1.619.1 HK.27.1.1 A.5 XCV JN.1.61 JN.1.16 JN.1.67 JN.1 JN.1.60 JN.1.34 JN.1.15 LE.1.2 B.1.637.1 P.1 MC.24.2 JN.1.11 EG.5.2.2 B.1.369.1 AY.134 B.1.177.78 FC.1 KP.3.1.5 BA.2.3.12 KF.2 LZ.3 B.1.629 JN.1.6 XEC.3 NF.1.2 XBB.3.5 JN.1.49.3 GY.5 B.1.177.66 JN.1.57 PQ.1 KP.3.3.2 JN.1.47.1 B.1.258.9 GE.1.2.1 KP.3.1.9 B.1.544 BA.5.1.18 KE.3 HR.1.1 AY.35 CJ.1.1 CL.1.2 JN.1.1.4 B.1.1.389 XBH JN.1.57.1 XBF.8.1 BA.2.67 BA.2.23.1 FR.1.5 MC.11.3 EB.1 BA.5.6.2 DY.1.1 BQ.1.1.35 XFH BA.2.54 XDK KP.2.6.4 XEC.2 KN.1.1 XBC.1.4 JN.1.63.1 A.27 LN.1 XBB.1.33 JN.1.16.4 BA.2.9.1 BS.1.2 CJ.1.2 JN.1.17 JN.1.4.9 BA.2.19 A.30 XEP JL.1 BW.1.2 MB.1.1.3 MC.21.2 HC.3 PK.1 XBB.1.12.1 KP.1.1.3 XEC.10 AY.121.1 KP.2.17 W.2 JB.2.1 LH.1 AW.1 LN.1.1 A.28 AZ.1 BF.7.4.1 FD.1 FD.1.1 W.3 B.1.335 B.1.1.523 BQ.1.1.72 JD.1.1.4 XDK.4 B.1.1.290 XBB.1.45.1 KP.2.23 MZ.4.1 B.1.258.12 KD.4 DJ.1.1.1 BA.2.3.15 B.1.1.351 XDK.4.1 XDD.1.1 JW.1.1 B.1.36.33 B.1.258.22 FL.17.1 AY.23.2 MJ.2 XEK.1.2 XEK.1.2.1 NU.1 KP.3.2.8 XBB.8.1 BA.2.87.1 B.1.438.3 FL.19.1 DF.1.1 BE.1.4.2 JN.1.18.3 JN.1.18.5 JN.1.18 JN.1.16.1 JN.1.26 B.1.1.384 KP.6 KP.2.14.1 XAM BW.1.1 JN.1.11.1 B.1.639 BQ.1.15.1 XEU XQ JN.1.67.1 GS.7.1 B.1.177.61 B.1.423 MC.32.1 JN.1.8 B.1.550 B.1.198 NS.1.1 JN.1.6.1 JN.1.44 XDG JN.1.56.1 B.1.160.7 KP.2.28.1 JN.1.21 MC.13.3 EG.5.2.3 KP.3.1.7 GC.1 B.1.1.431 BQ.1.15.2 XBR C.6 B.1.177.64 B.1.36.39 AA.2 CQ.1.1 MC.1.3 B.1.382 BE.13 KP.3.1.2 NS.1.2 B.1.22.1 DV.3.1 KP.2.1 JN.1.42 KP.3.5 C.1.2 NW.1 XEF LF.1.1.1 XBC.1.1.2 JN.3.2.1 MC.28.1.1 NF.1.4 LF.3 AU.2 KP.2.8 B.1.258.15 B.1.563 MF.1 XEM XT MZ.5 BQ.1.8.1 JN.1.24 JN.1.14 BF.19 KW.1 GS.5 GE.1.2.2 XBB.1.4.2 AJ.1 JN.1.13 KU.2.2 XBF.5 PM.1.2 FY.1.4.1 B.1.499.1 B.1.1.138 A.2.5.1 FL.18.1.1 JN.1.12 XBZ MC.30 BL.5 B.1.526 AK.2 B.1.243.2 B.1.177.73 B.1.194 LP.10.1.1 XBC.1.6.1 FL.13.4.1 B.39 B.1.571 XFF B.1.641 CA.6 B.58 XBA LP.8.1.7 LB.1.10 LP.1.2.1 XW B.1.630 JN.1.8.1 BP.1 LP.5 B.1.206 B.1.177.20 B.1.177.41 AY.4.2.1 B.1.587 LB.1.9 C.36.3.1 B.1.213 LZ.2.1.2 B.1.536 CZ.2 BQ.1.1.1 FT.3.1 MD.3.1.4 FB.2 JN.1.28.1 B.1.160.21 B.1.214.3 NH.2 MC.1.4.1 MC.17.1 B.1.221.4 LP.8.1.10 HL.1 KP.3.1.3 XDD.1.1.1 MU.1 AY.3.3 B.1.1.418 XEV XEC.11.1 KP.3.3.1 KU.2.1 XCF.2 MJ.2.1 B.46 PM.1 JP.1.1 KW.1.2 JF.2 FW.1.1.1 B.1.1.302 BA.2.3 BF.34 XEC.25.1 B.1.1.327 JN.1.55 XDV.1.2 FV.1 GY.1 DV.7.1.4 JN.1.45 MQ.1 XDK.5 KP.2 BA.5.2.5 HU.2 XDR.1.2 JN.1.28 AH.1 B.1.516 B.1.243.1 XBB.1.19.2 AY.127.3 NB.1.8.1 GA.7 B.1.605 C.30.1 A.29 B.1.640.2 NH.1 JN.1.44.1 XEC.1 XR DH.1 XBB.1.24 JC.6 B.1.240.2 GY.1.1 MC.13.3.1 XAF MC.21.1 B.38 KP.2.19 NJ.1 ND.1.1.2 B.1.421 KT.1 XBB.1.5.45 KP.3.2.1 B.1.1.341 JY.1 Z.1 JN.1.38 MC.20 B.1.1.153 LF.7.3.6 FK.1.1.2 MF.2 PK.1.1 XFM B.1.1.433 B.1.1.182 JN.1.42.2 KW.1.1 JN.1.50 B.1.627 XDY.5.1 BA.5.7 B.1.214.1 JN.1.30 B.1.83 MD.4.1 KP.2.3.15 CL.1.3 FT.3.1.1 B.1.258.16 MC.1.1 B.28 KP.4.2.4 BW.1.1.1 JN.1.51 JN.1.51.1 MK.3 JN.1.24.1 P.6 JC.5.1 BQ.1.13 B.1.1.227 B.1.426 NP.2 PG.4 C.20 JN.1.5 B.1.1.217 B.1.9.3 KP.3.1.10 L.3 GS.8 KP.3.7 B.6.1 AY.122.3 AA.3 HK.13.2.1 XEC.14.1.1 S.1 KP.3.2 XEF.2 B.34 BQ.1.1.15 XAY.2.1 XBB.2.2 XBF.4 BA.5.5 Y.1 CY.2 JN.2.2 B.1.1.385 XDQ.1.1 BA.5.2.13 KC.1.1 B.1.177.69 B.1.160.19 KP.2.20 MD.3.1.3 GH.1 BA.5.1.9 BA.2.33 LP.8.1.13 LB.1.7 B.1.425 MV.1.4 NM.2 B.1.316 MC.18 AT.1 B.1.177.37 JN.1.2 B.1.1.519 B.11 C.38 JN.1.18.1 FL.13.4 BA.2.23 R.1 BQ.1.7 B.1.1.159 KP.3.3.5 B.1.400.1 XBB.1.5.103 MY.1 HW.1 FL.23.1 XBB.1.24.1 KT.1.2 LQ.3 AY.64 AU.3 B.1.1.241 FR.1.3 P.1.5 BW.1.1.2 KT.1.1 BA.2.82 FL.24.1 FP.2.1 MC.1.2 AY.4.2.5 BQ.1.25.1 XJ XDK.3 GJ.1.2.3 XAU FF.1 HZ.3 A.12 M.1 CV.1 BA.3.2 AY.39.1.4 HC.4 B.1.177.28 B.1.188 BA.5.5.2 BN.1.4.1 GY.9 XEC.2.1 B.1.177.29 JN.1.39 GW.1.1 XBB.4.1 MC.30.1 XBC.1.2.1 LA.2 AD.2.1 B.31 DV.7.1.7 XBB.1.16.27 XEC.2.5 JN.1.16.2 B.1.177.34 XEC.4.3 FR.2 B.1.177.82 XD B.1.177.30 MV.2 AY.16.1 B.1.1.272 LF.4.1 GE.1.2 DM.1 B.1.160.32 KR.3 JN.1.1.5 BA.2.10.4 XBC.1.7.2 B.1.1.434 BA.5.1.31 B.1.546 FY.4.2 JN.1.68.1 PQ.2 NL.4.1.1 JN.1.48 XBJ.1.1 EE.4 B.1.634 CH.1.1.7 P.1.2 XEC.2.2 AY.25.1 XEH XA KP.2.3.13 XBB.1.19 KE.2 NR.1 JN.1.15.1 KR.4.1 CH.1.1.4 BQ.1.1.75 AY.99.1 JN.1.39.3 B.1.36.12 AY.59 JN.1.50.1 B.1.535 JN.1.9 B.1.1.144 BA.5 AH.2 EP.2 JN.1.8.3 MC.2 BQ.1.8.2 XCK GA.4.1.2 B.1.1.481 EV.1 EF.1.3 FL.4.5 FP.2.1.1 GW.5.1.1 JM.1 JN.1.43 MS.1 B.1.393 A.23 BQ.1.1.63 FD.4.1 MU.2 AY.2 B.1.615 B.1.177.65 B.1.626 XDQ BQ.1.1.24 BN.1.2.5 LP.1 B.1.351.3 BA.2.9.6 FL.1.1.1 JN.1.29.1 JN.1.29
abundances	0.22286690 0.15327441 0.11797874 0.09452718 0.09333379 0.08710671 0.05589981 0.04605201 0.04299814 0.02197433 0.02022359 0.00985250 0.00790565 0.00662791 0.00662791 0.00323214 0.00096133 0.00086522 0.00085075 0.00043901 0.00042948 0.00039454 0.00039179 0.00034495 0.00026671 0.00026145 0.00025982 0.00025722 0.00024028 0.00022375 0.00021380 0.00020083 0.00020048 0.00016320 0.00016135 0.00015900 0.00015724 0.00014501 0.00014233 0.00013429 0.00012749 0.00012716 0.00011985 0.00009966 0.00009371 0.00007925 0.00007752 0.00007412 0.00006596 0.00006596 0.00006406 0.00006251 0.00005908 0.00005901 0.00005873 0.00004676 0.00004516 0.00004381 0.00003988 0.00003988 0.00002280 0.00002189 0.00002066 0.00001972 0.00001645 0.00001560 0.00001395 0.00001096 0.00001058 0.00001035 0.00000961 0.00000850 0.00000814 0.00000812 0.00000789 0.00000776 0.00000749 0.00000713 0.00000664 0.00000632 0.00000615 0.00000613 0.00000606 0.00000595 0.00000561 0.00000548 0.00000528 0.00000523 0.00000501 0.00000481 0.00000452 0.00000433 0.00000411 0.00000389 0.00000376 0.00000365 0.00000365 0.00000354 0.00000344 0.00000305 0.00000303 0.00000289 0.00000288 0.00000286 0.00000285 0.00000284 0.00000279 0.00000277 0.00000262 0.00000257 0.00000252 0.00000237 0.00000235 0.00000233 0.00000230 0.00000226 0.00000222 0.00000222 0.00000219 0.00000208 0.00000208 0.00000203 0.00000194 0.00000194 0.00000194 0.00000193 0.00000192 0.00000190 0.00000190 0.00000185 0.00000183 0.00000180 0.00000179 0.00000178 0.00000175 0.00000174 0.00000168 0.00000168 0.00000164 0.00000163 0.00000161 0.00000160 0.00000158 0.00000157 0.00000156 0.00000156 0.00000154 0.00000152 0.00000150 0.00000148 0.00000142 0.00000141 0.00000139 0.00000135 0.00000135 0.00000133 0.00000132 0.00000132 0.00000131 0.00000131 0.00000130 0.00000129 0.00000128 0.00000128 0.00000128 0.00000127 0.00000127 0.00000124 0.00000124 0.00000124 0.00000121 0.00000121 0.00000116 0.00000115 0.00000115 0.00000114 0.00000114 0.00000110 0.00000109 0.00000108 0.00000107 0.00000107 0.00000107 0.00000106 0.00000104 0.00000103 0.00000102 0.00000102 0.00000100 0.00000098 0.00000097 0.00000096 0.00000096 0.00000095 0.00000094 0.00000094 0.00000094 0.00000092 0.00000091 0.00000090 0.00000090 0.00000090 0.00000089 0.00000089 0.00000088 0.00000087 0.00000087 0.00000087 0.00000084 0.00000084 0.00000083 0.00000083 0.00000082 0.00000081 0.00000081 0.00000081 0.00000081 0.00000080 0.00000080 0.00000077 0.00000077 0.00000077 0.00000076 0.00000076 0.00000075 0.00000074 0.00000074 0.00000074 0.00000074 0.00000073 0.00000072 0.00000072 0.00000072 0.00000071 0.00000071 0.00000071 0.00000070 0.00000070 0.00000069 0.00000069 0.00000069 0.00000069 0.00000068 0.00000067 0.00000067 0.00000067 0.00000066 0.00000066 0.00000066 0.00000066 0.00000066 0.00000065 0.00000065 0.00000065 0.00000064 0.00000064 0.00000064 0.00000063 0.00000063 0.00000063 0.00000062 0.00000062 0.00000062 0.00000061 0.00000061 0.00000061 0.00000061 0.00000061 0.00000060 0.00000060 0.00000060 0.00000060 0.00000060 0.00000060 0.00000060 0.00000060 0.00000059 0.00000059 0.00000059 0.00000059 0.00000058 0.00000058 0.00000058 0.00000058 0.00000057 0.00000057 0.00000056 0.00000055 0.00000055 0.00000055 0.00000055 0.00000054 0.00000054 0.00000054 0.00000054 0.00000054 0.00000054 0.00000053 0.00000053 0.00000053 0.00000052 0.00000052 0.00000052 0.00000052 0.00000051 0.00000051 0.00000051 0.00000051 0.00000050 0.00000050 0.00000050 0.00000050 0.00000049 0.00000049 0.00000049 0.00000049 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000048 0.00000047 0.00000047 0.00000047 0.00000047 0.00000047 0.00000047 0.00000047 0.00000046 0.00000046 0.00000046 0.00000046 0.00000046 0.00000046 0.00000046 0.00000045 0.00000045 0.00000045 0.00000045 0.00000045 0.00000045 0.00000045 0.00000045 0.00000045 0.00000045 0.00000044 0.00000044 0.00000044 0.00000044 0.00000044 0.00000044 0.00000043 0.00000043 0.00000043 0.00000043 0.00000043 0.00000043 0.00000042 0.00000042 0.00000042 0.00000042 0.00000042 0.00000042 0.00000042 0.00000042 0.00000042 0.00000041 0.00000041 0.00000041 0.00000041 0.00000041 0.00000041 0.00000041 0.00000041 0.00000041 0.00000040 0.00000040 0.00000040 0.00000040 0.00000040 0.00000039 0.00000039 0.00000039 0.00000039 0.00000039 0.00000039 0.00000038 0.00000038 0.00000038 0.00000038 0.00000038 0.00000038 0.00000038 0.00000037 0.00000037 0.00000036 0.00000036 0.00000036 0.00000036 0.00000036 0.00000036 0.00000036 0.00000035 0.00000035 0.00000035 0.00000035 0.00000035 0.00000035 0.00000035 0.00000035 0.00000035 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000032 0.00000031 0.00000031 0.00000031 0.00000031 0.00000031 0.00000031 0.00000031 0.00000031 0.00000031 0.00000031 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000029 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010
resid	9.67651851694368
coverage	87.0982844530649
