	../variants/ENV_COV_24_2353_S28.tsv
summarized	[('KP.3.1.1* (KP.3.1.1.X)', 0.6687384906339472), ('BA.2.86* (BA.2.86.X)', 0.3309186139647414), ('JN.1.7* (JN.1.7.X)', 0.00021038536918122346), ('KP.3* (KP.3.X)', 0.00010277038729213108), ('Other', 8.975871940676408e-05), ('Omicron', 3.6995838843660855e-05), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 2.190636116278491e-05), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 1.072902299168154e-05), ('Delta', 7.766176733897644e-06), ('XBB.2.3* (XBB.2.3.X)', 4.185534370820517e-06), ('BA.2.75* [Omicron (BA.2.75.X)]', 3.2379632428765936e-06), ('LP.8.1* (LP.8.1.X)', 2.4673785798295788e-06), ('XEC* (XEC.X)', 2.440564270416184e-06), ('LB.1* (LB.1.X)', 2.36296287181895e-06), ('CH.1.1* [Omicron (CH.1.1.X)]', 2.085172073229023e-06), ('XBB* (XBB.X)', 1.7234965622822523e-06), ('EG.5* [Omicron (EG.5.X)]', 1.582561712646786e-06), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 1.2366179605528786e-06), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 1.2084796924707068e-06), ('JN.1.18* (JN.1.18.X)', 1.0460951135887408e-06), ('KP.2* (KP.2.X)', 7.591620018890091e-07), ('Alpha', 7.439244959392057e-07), ('A', 4.539991914984855e-07), ('Gamma', 3.846372096245369e-07), ('Lambda', 1.6436375906044517e-07), ('Beta', 1.0090016593009398e-07)]
lineages	MC.10 JN.1.16.3 JN.1.16 JN.1.30 KZ.1 JN.3 JN.1.44 JN.1.7.4 MC.40.1 JN.1.49 MC.9 KP.3.1.5 KU.2.1 JN.7 MC.21 MC.10.2.2 XDR MC.40 FD.1.1 KU.2 FL.23.1 B.1.38 BA.2.70 B.1.1.273 BF.7.5 XAN XBB.1.5.103 JN.1.16.5 B.51 BA.4.7 B.1.177.27 B.1.1.326 HZ.1 PD.2.1 B.1.1.308 XDG XDZ JN.1.29.1 FL.4.9 GK.1.1 HH.8 MC.15 AY.43.1 DK.1 BA.2.3.18 B.1.601 BA.1.6 NQ.1 B.1.160.24 JN.1.49.2 KP.3.1 BF.20 AY.69 GJ.1.2.8 JN.3.1 LB.1.4.1 FL.1.5.2 AZ.4 JD.1.1.6 AY.122.3 FB.2 B.1.407 B.1.338 XEC.9 XBC.1.7.2 LB.1.3.3 BA.5.2.19 Q.4 LW.1.1 PA.2 JN.3.2.1 XP B.1.1.284 BU.2 BF.36 KP.3.1.7 U.1 B.1.1.170 MC.9.1 HH.8.1 XDD.3 BA.2.9.7 XAU BF.10.1 MC.21.2 JN.1.4.9 PH.1 XDY.6 KP.3.1.8 XEC.2.3.1 B.1.602 BQ.1.1.52 JN.1.49.3 NL.16 EG.6.1.1 B.1.1.86 MB.1 B.1.36.23 BM.1.1.5 C.23 BQ.2 B.1.431 B.1.346 BM.1.1.2 HL.1 XT FL.4.1.1 NB.1.8 MC.24.2 HD.1.1 B.1.1.417 U.3 JV.1 FR.1.2 BA.5.2.55 BF.3.1 FL.24 B.18 NU.1 KP.2.3.5 HM.1 DV.8 HK.14 AY.4.14 BA.2.9.6 CS.1 KE.1 BA.2.10.4 LY.2 BG.2 B.1.395 AY.15 KP.2.3.2 XEM XDV.1.7.5 LF.7.1.5 KW.1.2 B.1.182 CH.1.1.28 MJ.2 P.1.1 BL.4 AY.43.7 AY.43.3 FW.2 MC.30 LF.7.1.4 HK.25 L.3 JV.2 JB.2.1 DT.2 BA.5.1.24 B.1.428.2 BN.1.3.5 XDY.5.1 XDY.5 XEC.4.3 EG.5.2 CA.1 B.1.500 JN.1.5 B.1.326 LZ.2.2 JM.1 GN.1 JF.3 JT.1 XBA LZ.1 FL.24.1 HF.1.1 CQ.2 B.1.1.16 GE.1.5 GK.1.1.1 EA.1 B.1.634 DY.4 LD.1.1 EG.10.1.1 B.1.1.157 XDA.1 KN.1 XBB.2.3.9 BE.1.4.1 LK.2.1 AT.1 XEC.2.3 XBN B.1.22.1 B.1.258.9 JN.2.5 AS.2 B.1.177.29 B.1.629 B.1.565 B.35 KF.1 EG.2.4 A.7 AY.125.1 XEC.4.6 XEC.4.4 PD.1.2 PC.2.2 JN.14 B.1.188 XFG.1 FL.32.1 B.1.463 BQ.1.1.7 HK.34.1 GA.7.1 MC.8.1 C.2.1 B.1.1.415 FD.5.1 CH.1.1.20 B.1.559 EG.1.2 BF.25 AM.4 AY.4.2.1 LB.1.7.1 B.1.214.4 C.36.3.1 BN.1.4.1 MD.1.2 XBC.1.6.6 B.1.438.4 R.2 B.1.1.330 LF.6 B.1.76 AY.43.8 JN.1.51.1 HK.21 BQ.1.1.5 C.9 BQ.1.10 BF.1.1 B.1.383 B.1.1.525 BA.2.75.1 XBV XAY.2.2 B.1.557 B.1.617 BE.1.3 XDV.1.5 AY.39.3 B.58 XAE XBB.8.1 AF.1 C.37.1 BQ.1.1.61 JN.1.57 XEJ.1 GN.1.1 AY.70 GK.1.2.1 BQ.1.1.23 B.1.1.347 AY.101 JN.1.39.1 B.1.36.37 BQ.1.10.3 BR.1.2 CM.8.1.5 BE.4.2 B.13 AY.7.2 B.6.2 BQ.1.1.2 BF.7.14.3 NB.1.2.1 AY.98.1.1 CM.7.1.1 KP.3.1.10 B.1.641 AY.39.2 EG.8 B.1.36.28 JD.1.2.1 ND.1.1.2 BF.10 B.1.1.315 GY.7 B.1.542 B.1.83 XEC.11.1.1 P.6 XEZ XFK PQ.1 FK.1.4 XEG FB.1 NS.1 AY.39.1.4 KP.3.1.3 CP.8 JN.1.16.2 AY.19 B.1.617.2 KP.3.1.9 AH.3 AE.5 Z.1 EC.1.1 AY.99.2 FK.1.4.1 A.29 B.1.3 C.20 FK.1.2.2 ME.1 PC.4.1 B.1.524 JH.2 AA.4 BN.1.3.13 FE.1.1.1 AY.5.2 AY.43.2 AY.4.2.5 FQ.1 LQ.1 LQ.1.1 AV.1 BF.22 AY.132 BZ.1 B.1.1.358 KL.1.1 BQ.1.16 CA.7 P.4 B.1.1.360 B.1.36.1 B.1.1.288 BN.1.4 BL.1.4 CM.8.1.1 BN.1.3.3 FK.1.3.2 B.1.103 A.2.5.2 B.1.1.425 B.1.1.394 LF.7.6.2 HK.12 FU.5 XEC.11 KJ.1 MD.3.1 B.1.640.2 FW.1.1 MC.1.3.1 BA.1.21 GC.1 FW.3 EA.2 JN.1.15.1 BA.2.9.2 KP.3.1.4 FF.1 BQ.1.29 B.1.243.2 GN.1.2 DG.1 CK.2.1.1 B.1.195 DN.3 B.1.177.26 MV.1.1.1 B.1.1.427 GE.1.3 BQ.1.1.79 KS.1 B.1.221.1 JR.1 JN.1.65.1 KU.2.2 NF.1.2 KP.2.3.11 MD.3.1.4 B.30 BQ.1.30 AY.123 B.1.218 HR.1.1 BF.3 CK.1.1.2 CH.1.1.16 B.1.1.343 JN.1.47.2 DS.1 B.1.1.389 B.1.1.517 PC.2.1 B.1.351 XEL.6 FU.3 AY.39.1.3 P.1.12.1
abundances	0.66822560 0.18754533 0.14147124 0.00066688 0.00033564 0.00028324 0.00027320 0.00021017 0.00019671 0.00015178 0.00014806 0.00009766 0.00008635 0.00008242 0.00007428 0.00007233 0.00003810 0.00001619 0.00001071 0.00000757 0.00000636 0.00000562 0.00000426 0.00000422 0.00000379 0.00000347 0.00000322 0.00000302 0.00000273 0.00000266 0.00000255 0.00000237 0.00000237 0.00000227 0.00000223 0.00000215 0.00000213 0.00000212 0.00000206 0.00000202 0.00000200 0.00000199 0.00000188 0.00000182 0.00000162 0.00000157 0.00000144 0.00000142 0.00000142 0.00000138 0.00000134 0.00000125 0.00000108 0.00000105 0.00000102 0.00000095 0.00000091 0.00000091 0.00000088 0.00000088 0.00000084 0.00000084 0.00000082 0.00000082 0.00000081 0.00000076 0.00000076 0.00000074 0.00000074 0.00000072 0.00000066 0.00000065 0.00000063 0.00000061 0.00000060 0.00000060 0.00000060 0.00000060 0.00000060 0.00000057 0.00000057 0.00000055 0.00000054 0.00000054 0.00000053 0.00000053 0.00000051 0.00000051 0.00000049 0.00000049 0.00000049 0.00000047 0.00000047 0.00000047 0.00000046 0.00000046 0.00000046 0.00000045 0.00000044 0.00000043 0.00000042 0.00000042 0.00000041 0.00000041 0.00000041 0.00000040 0.00000040 0.00000040 0.00000039 0.00000039 0.00000038 0.00000038 0.00000037 0.00000037 0.00000037 0.00000037 0.00000036 0.00000036 0.00000035 0.00000035 0.00000035 0.00000034 0.00000034 0.00000032 0.00000032 0.00000032 0.00000032 0.00000031 0.00000031 0.00000031 0.00000031 0.00000030 0.00000030 0.00000030 0.00000030 0.00000030 0.00000029 0.00000029 0.00000029 0.00000029 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000028 0.00000027 0.00000027 0.00000027 0.00000027 0.00000027 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000026 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000025 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000023 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000021 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010
resid	10.478866390017817
coverage	72.95254656723405
