	../variants/ENV_COV_24_2141_S107.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.9989799606880033), ('LB.1* (LB.1.X)', 0.0005791413357586762), ('JN.1.18* (JN.1.18.X)', 0.00044680090022095205), ('Other', 1.8829719065216755e-05), ('Omicron', 1.6797101358776724e-05), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 2.6944806461620256e-06), ('KP.3.1.1* (KP.3.1.1.X)', 2.5602266547698864e-06), ('Delta', 2.1653201477955755e-06), ('LP.8.1* (LP.8.1.X)', 1.8281245802649821e-06), ('XBB* (XBB.X)', 1.7802369311397047e-06), ('KP.2* (KP.2.X)', 1.7684993692042919e-06), ('BA.2.75* [Omicron (BA.2.75.X)]', 1.460153916919114e-06), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 1.3214532405912637e-06), ('EG.5* [Omicron (EG.5.X)]', 1.1619134229152968e-06), ('A', 9.73540054973444e-07), ('CH.1.1* [Omicron (CH.1.1.X)]', 9.62008527449759e-07), ('XBB.2.3* (XBB.2.3.X)', 7.743800804484868e-07), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 7.533884157337848e-07), ('Gamma', 4.790071946231114e-07), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 4.0409260664945403e-07), ('XEC* (XEC.X)', 1.813414581215297e-07), ('JN.1.7* (JN.1.7.X)', 1.3319417195639727e-07)]
lineages	MV.1 MB.1 LQ.1 LB.1.4.1 LB.1.9 LF.10 B.1.1.466 BA.2.3.5 BF.35 MV.1.2 MC.10.2 B.1.1.77 NS.1 JN.1.4.5 LP.8.1.7 BA.5.2.10 KP.2.3.5 EG.5.1.16 XEK NS.1.2 CH.2 FL.35.1 LF.7.9.1 MV.1.1 XDV.1.7.4 LZ.4 GN.1.1 B.1.323 FY.4.1.2 NE.1 AY.28 P.1.12 XFF XBF.9 XEP.1.1 XBB.1.1 EG.2.1 FL.35 XBB.1.5.55 XFB.1 CZ.1 B.1.471 DV.7.1.9 XBB.1.5.37 A.12 AY.77 NZ.1 LB.1.3.4 MC.33.1.1 MV.1.3 LB.1.3 XBB.1.5.52 C.8 BA.1.1.10 BQ.1.1.73 BQ.1.1.1 JN.5 BF.19 PP.1 XBB.1.5.84 B.1.258.10 A CZ.2 NL.5.2 MA.1.2 XCE B.1.36.12 BQ.1.1.32 B.1.600 AY.94 JN.9 NH.4 C.7 BA.1.1.1 CH.1.1.9 AY.122.3 XBB.1.5.10 B.1.69 BQ.1.1.57 BN.1.11 BE.1.4.2 B.1.343 B.1.423 BQ.1.1.74 FU.2 B.1.418 AY.5.4 DN.3.1 DT.3 XEC.27 XBB.1.42.2 AY.40 B.1.551 AY.53 XBB.1.5.90 B.1.110 AY.43.1 B.1.177.74 XBB.3.5 LF.7.1.6 DV.7.1.4 JN.2.2 GW.5.2 B.1.177.63 BA.2.3.12 AY.4.2.5 BU.2 B.1.1.435 XBB.2.3.7 B.1.316 B.1.160.28 XBB.1.16.31 BA.5.1.38 NU.1 XBB.1.16.10 MD.3.1.3 BA.5.2.47 XBB.1.16.19 MJ.1.1 NL.4.1 FL.3.3 GJ.5.1 XEP.1 BW.1.2 AM.2 FR.1.4 B.1.615 B.1.1.507 LB.1.2.3 A.15 LK.2.1 CE.1 BN.1.2.8 XBB.2.3.22 CM.10 FN.1 HG.2 FP.2 HK.11.1 CR.1.3 B.1.535 A.5 B.1.177.77 FK.1.1 BL.2.1 B.1.1.130 A.16 CP.3 JB.2.1 XDB JF.2 BA.5.2.33 KS.1.1.3 JN.2.2.1 B.1.258.15 XBB.2.3.16 XAM DS.3 FL.1.1.1 B.1.564 B.1.177.85 XFH.2 NL.7 BG.5 GP.2 BQ.1.1.24 KP.2.3.13 HH.4 BA.5.2.41 B.1.160.11 XBB.1.31.1 B.1.438.4 XBB.1.5.69 JD.1.1.2 JW.1.1 HP.1.1 XCV B.1.1.379
abundances	0.89033493 0.10839581 0.00044598 0.00030538 0.00027211 0.00023798 0.00000852 0.00000449 0.00000406 0.00000356 0.00000223 0.00000219 0.00000163 0.00000160 0.00000156 0.00000156 0.00000142 0.00000104 0.00000095 0.00000080 0.00000075 0.00000069 0.00000067 0.00000067 0.00000065 0.00000058 0.00000058 0.00000053 0.00000052 0.00000048 0.00000048 0.00000048 0.00000047 0.00000046 0.00000042 0.00000041 0.00000040 0.00000037 0.00000036 0.00000035 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000034 0.00000033 0.00000033 0.00000033 0.00000033 0.00000033 0.00000032 0.00000031 0.00000029 0.00000027 0.00000027 0.00000027 0.00000026 0.00000026 0.00000026 0.00000026 0.00000025 0.00000025 0.00000025 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000023 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000022 0.00000021 0.00000021 0.00000021 0.00000021 0.00000020 0.00000020 0.00000020 0.00000019 0.00000019 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000018 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000016 0.00000016 0.00000016 0.00000016 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010
resid	7.25029399129277
coverage	81.6908002541551
