,Other,Recombinants,Delta,BA.1.X,BA.2.X,BA.2.12.X,BA.4.X,BA.5.X,XBB.X,XBB.1.5.X,BA.2.86.X,JN.1.X,KP.1.X,KP.3.X,LB.1.3.X,LB.1.3.4.X,XEC.X,LP.8.1.X,XFG.X,NB.1.8.1.X,BA.3.2.X
2022-09-04,0.00029657961538458264,0.04247131384615385,2.8211538461538464e-06,0.012802900769230763,0.008625205384615385,9.242307692307672e-07,0.15048593884615385,0.7853128846153847,2.4615384615384616e-08,1.3523076923076927e-06,0.0,5.461538461538462e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-05,0.00029657961538458264,0.04247131384615385,2.8211538461538464e-06,0.012802900769230763,0.008625205384615385,9.242307692307672e-07,0.15048593884615385,0.7853128846153847,2.4615384615384616e-08,1.3523076923076927e-06,0.0,5.461538461538462e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-06,0.000300905769230741,0.04247372115384615,2.821153846153846e-06,0.012802900769230761,0.008625205384615385,9.242307692307671e-07,0.15048593884615385,0.785304195,1.281923076923077e-06,2.051153846153846e-06,0.0,5.4615384615384616e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-07,0.001224071851851857,0.040965369629629635,2.077777777777778e-06,0.03189405074074073,0.008209947037037037,2.4355555555555535e-06,0.09226230555555556,0.8254328703703704,1.2344444444444444e-06,5.584444444444444e-06,0.0,5.259259259259259e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-08,0.001224071851851857,0.040965369629629635,2.077777777777778e-06,0.03189405074074073,0.008209947037037037,2.4355555555555535e-06,0.09226230555555556,0.8254328703703704,1.2344444444444444e-06,5.584444444444444e-06,0.0,5.259259259259259e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-09,0.001269335384615409,0.039848465,2.1576923076923082e-06,0.033120745,0.009542887692307694,0.000967959230769231,0.05850709576923078,0.8567318188461539,3.702307692307693e-06,5.790384615384616e-06,0.0,4.2692307692307693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-10,0.001269335384615409,0.039848465,2.1576923076923082e-06,0.033120745,0.009542887692307694,0.000967959230769231,0.05850709576923078,0.8567318188461539,3.7023076923076937e-06,5.790384615384616e-06,0.0,4.2692307692307693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-11,0.001269335384615409,0.039848465,2.1576923076923082e-06,0.033120745,0.009542887692307694,0.000967959230769231,0.05850709576923078,0.8567318188461539,3.7023076923076937e-06,5.790384615384616e-06,0.0,4.2692307692307693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-12,0.001269335384615409,0.039848465,2.1576923076923082e-06,0.033120745,0.009542887692307694,0.000967959230769231,0.05850709576923078,0.8567318188461539,3.7023076923076937e-06,5.790384615384616e-06,0.0,4.2692307692307693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-13,0.0010882561538461779,0.04567967807692308,2.157692307692308e-06,0.03304328653846153,0.009548417692307692,0.0009679592307692309,0.05850709576923077,0.8511536134615384,3.702307692307693e-06,5.790384615384615e-06,0.0,4.2692307692307693e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
