,collection_date,lineage,abundance
84,2024-08-02,XBB.1.5.X,0.0
85,2024-06-19,XBB.1.5.X,0.0
86,2024-04-23,XBB.1.5.X,0.0
87,2024-06-14,XBB.1.5.X,0.0
88,2024-08-12,XBB.1.5.X,0.0
89,2024-07-23,XBB.1.5.X,0.0
90,2023-10-17,XBB.1.5.X,0.0
91,2022-05-17,XBB.1.5.X,2.62e-05
92,2022-11-29,XBB.1.5.X,0.0
93,2023-05-23,XBB.1.5.X,0.8698269300000002
94,2022-04-19,XBB.1.5.X,0.0
95,2024-05-08,XBB.1.5.X,0.0
96,2023-10-06,XBB.1.5.X,0.0
97,2023-02-22,XBB.1.5.X,0.4075065500000001
98,2024-11-13,XBB.1.5.X,0.0
99,2022-12-05,XBB.1.5.X,0.0
100,2024-07-25,XBB.1.5.X,0.0
101,2024-04-26,XBB.1.5.X,0.0
102,2024-04-04,XBB.1.5.X,1.26e-06
103,2023-03-22,XBB.1.5.X,0.6117332799999999
104,2025-02-04,XBB.1.5.X,0.0
105,2024-08-05,XBB.1.5.X,6e-07
106,2023-07-26,XBB.1.5.X,2.37e-06
107,2023-09-19,XBB.1.5.X,0.04794631
108,2022-09-28,XBB.1.5.X,0.0
109,2024-11-29,XBB.1.5.X,0.0
110,2024-07-01,XBB.1.5.X,0.0
111,2024-08-23,XBB.1.5.X,0.0
112,2024-07-31,XBB.1.5.X,0.0
113,2022-08-10,XBB.1.5.X,0.0
114,2024-08-07,XBB.1.5.X,0.0
115,2023-05-16,XBB.1.5.X,0.8689927699999999
116,2024-08-16,XBB.1.5.X,0.0
117,2024-08-01,XBB.1.5.X,0.0
118,2024-08-13,XBB.1.5.X,0.0
119,2023-09-07,XBB.1.5.X,0.00052084
120,2023-08-04,XBB.1.5.X,0.2558483
121,2023-08-11,XBB.1.5.X,0.6233979200000002
122,2023-10-18,XBB.1.5.X,0.36125663
123,2024-08-12,XBB.1.5.X,0.0
124,2024-08-07,XBB.1.5.X,0.0
125,2024-03-27,XBB.1.5.X,0.0
126,2024-06-14,XBB.1.5.X,0.0
127,2022-10-19,XBB.1.5.X,6.17e-05
128,2024-11-20,XBB.1.5.X,0.0
129,2023-04-26,XBB.1.5.X,0.9097979499999999
130,2023-10-02,XBB.1.5.X,0.71673903
131,2025-01-08,XBB.1.5.X,0.0
132,2022-04-26,XBB.1.5.X,0.0
133,2022-01-18,XBB.1.5.X,0.0
134,2024-07-17,XBB.1.5.X,0.0
135,2024-05-20,XBB.1.5.X,0.0
136,2024-07-10,XBB.1.5.X,0.0
137,2022-10-11,XBB.1.5.X,6.474e-05
138,2023-08-31,XBB.1.5.X,0.49999516000000005
139,2023-11-15,XBB.1.5.X,0.5120083299999999
140,2024-05-16,XBB.1.5.X,0.0
141,2024-10-14,XBB.1.5.X,0.0
142,2024-10-01,XBB.1.5.X,0.0
143,2022-07-05,XBB.1.5.X,0.0
144,2024-09-30,XBB.1.5.X,0.0
145,2023-09-20,XBB.1.5.X,0.10164627999999999
146,2024-04-22,XBB.1.5.X,0.0
147,2024-11-01,XBB.1.5.X,0.0
148,2024-04-09,XBB.1.5.X,4.3e-07
149,2024-11-06,XBB.1.5.X,0.0
150,2024-01-23,XBB.1.5.X,0.0
151,2024-08-13,XBB.1.5.X,0.0
152,2021-12-07,XBB.1.5.X,0.0
153,2024-06-26,XBB.1.5.X,0.0
154,2024-05-15,XBB.1.5.X,0.0
155,2022-10-03,XBB.1.5.X,0.0
156,2024-04-15,XBB.1.5.X,0.0
157,2024-10-09,XBB.1.5.X,0.0
158,2023-05-15,XBB.1.5.X,0.04500033999999999
159,2024-04-15,XBB.1.5.X,0.0
160,2023-11-02,XBB.1.5.X,0.13280630000000002
161,2022-09-26,XBB.1.5.X,0.0
162,2024-10-01,XBB.1.5.X,0.0
163,2024-02-09,XBB.1.5.X,0.0
164,2024-09-23,XBB.1.5.X,0.0
165,2024-06-26,XBB.1.5.X,0.0
166,2025-02-25,XBB.1.5.X,0.0
167,2022-11-09,XBB.1.5.X,1.011e-05
168,2023-08-15,XBB.1.5.X,0.3648135
169,2024-02-07,XBB.1.5.X,0.0
170,2023-10-26,XBB.1.5.X,0.224844
171,2024-10-07,XBB.1.5.X,0.0
172,2024-02-15,XBB.1.5.X,0.0
173,2024-05-03,XBB.1.5.X,0.0
174,2024-07-09,XBB.1.5.X,2.08e-06
175,2024-08-30,XBB.1.5.X,0.0
176,2022-12-06,XBB.1.5.X,0.0
177,2024-05-14,XBB.1.5.X,3e-07
178,2023-10-03,XBB.1.5.X,0.0007225799999999999
179,2024-08-15,XBB.1.5.X,0.0
180,2022-04-19,XBB.1.5.X,0.0
181,2023-05-23,XBB.1.5.X,0.9990861400000001
182,2023-09-28,XBB.1.5.X,0.00024182
183,2024-11-06,XBB.1.5.X,1.98e-06
184,2023-01-17,XBB.1.5.X,0.0
185,2024-05-21,XBB.1.5.X,3.5e-07
186,2023-10-03,XBB.1.5.X,0.83043292
187,2024-03-18,XBB.1.5.X,0.0
188,2024-10-24,XBB.1.5.X,0.0
189,2022-04-26,XBB.1.5.X,0.0
190,2024-10-31,XBB.1.5.X,0.0
191,2024-07-09,XBB.1.5.X,0.0
192,2024-09-25,XBB.1.5.X,0.0
193,2023-10-18,XBB.1.5.X,4.5e-07
194,2025-02-17,XBB.1.5.X,0.0
195,2022-11-22,XBB.1.5.X,0.0
196,2023-04-26,XBB.1.5.X,0.9998364700000001
197,2022-10-18,XBB.1.5.X,0.0
198,2024-11-25,XBB.1.5.X,0.0
199,2024-03-07,XBB.1.5.X,2.3e-07
200,2024-02-02,XBB.1.5.X,0.0
201,2024-08-29,XBB.1.5.X,0.0
202,2024-06-25,XBB.1.5.X,0.0
203,2024-08-20,XBB.1.5.X,1.09e-06
204,2024-08-20,XBB.1.5.X,0.0
205,2022-07-11,XBB.1.5.X,5.371e-05
206,2025-02-04,XBB.1.5.X,0.0
207,2023-09-20,XBB.1.5.X,0.27002263000000004
208,2024-11-19,XBB.1.5.X,0.0
209,2024-06-07,XBB.1.5.X,0.0
210,2025-02-05,XBB.1.5.X,0.0
211,2023-11-15,XBB.1.5.X,0.00011006
212,2023-08-31,XBB.1.5.X,0.0480204
213,2022-04-25,XBB.1.5.X,0.0
214,2024-05-10,XBB.1.5.X,0.0
215,2024-07-23,XBB.1.5.X,1.18e-06
216,2024-03-26,XBB.1.5.X,0.0
217,2023-07-13,XBB.1.5.X,0.99895668
218,2025-02-04,XBB.1.5.X,0.0
219,2022-01-18,XBB.1.5.X,0.0
220,2024-09-20,XBB.1.5.X,5.3e-07
221,2024-10-09,XBB.1.5.X,0.0
222,2024-07-29,XBB.1.5.X,0.0
223,2024-07-08,XBB.1.5.X,0.0
224,2024-10-07,XBB.1.5.X,2.4e-07
225,2024-11-26,XBB.1.5.X,0.0
226,2025-01-14,XBB.1.5.X,0.0
227,2023-10-06,XBB.1.5.X,0.011879889999999999
228,2024-04-22,XBB.1.5.X,0.0
229,2022-04-19,XBB.1.5.X,0.0
230,2023-10-26,XBB.1.5.X,0.9999999599999999
231,2024-08-20,XBB.1.5.X,0.0
232,2024-01-10,XBB.1.5.X,0.0
233,2024-08-29,XBB.1.5.X,2.3e-07
234,2022-12-06,XBB.1.5.X,0.0
235,2022-02-22,XBB.1.5.X,0.0
236,2023-05-09,XBB.1.5.X,0.9942138799999998
237,2022-11-09,XBB.1.5.X,0.0
238,2025-02-28,XBB.1.5.X,0.0
239,2023-08-15,XBB.1.5.X,0.99978135
240,2024-05-24,XBB.1.5.X,2.6e-07
241,2024-04-25,XBB.1.5.X,0.0
242,2024-12-03,XBB.1.5.X,7.3e-07
243,2025-02-05,XBB.1.5.X,0.0
244,2024-03-12,XBB.1.5.X,0.0
245,2025-01-29,XBB.1.5.X,0.0
246,2023-12-20,XBB.1.5.X,0.0
247,2024-08-27,XBB.1.5.X,0.0
248,2023-09-05,XBB.1.5.X,0.16651765000000002
249,2024-05-08,XBB.1.5.X,0.0
250,2023-05-16,XBB.1.5.X,0.9995807599999998
251,2023-08-25,XBB.1.5.X,0.0
252,2023-03-27,XBB.1.5.X,0.87926378
253,2024-11-06,XBB.1.5.X,5.6e-07
254,2024-11-04,XBB.1.5.X,9.7e-07
255,2024-03-18,XBB.1.5.X,0.0
256,2024-08-06,XBB.1.5.X,0.0
257,2024-02-12,XBB.1.5.X,0.0
258,2024-02-15,XBB.1.5.X,0.0
259,2022-04-19,XBB.1.5.X,0.0
260,2024-09-30,XBB.1.5.X,0.0
261,2022-11-29,XBB.1.5.X,0.0
262,2024-10-08,XBB.1.5.X,6.7e-07
263,2023-10-26,XBB.1.5.X,0.00346839
264,2024-11-29,XBB.1.5.X,0.0
265,2022-10-25,XBB.1.5.X,0.0
266,2023-04-19,XBB.1.5.X,0.99802867
267,2025-02-26,XBB.1.5.X,0.0
268,2024-09-12,XBB.1.5.X,0.0
269,2022-03-22,XBB.1.5.X,0.0
270,2022-05-03,XBB.1.5.X,0.0
271,2025-02-04,XBB.1.5.X,0.0
272,2023-09-29,XBB.1.5.X,0.99978813
273,2023-10-03,XBB.1.5.X,0.294125
274,2022-11-22,XBB.1.5.X,0.0
275,2022-10-18,XBB.1.5.X,0.0
276,2025-01-21,XBB.1.5.X,0.0
277,2023-10-18,XBB.1.5.X,0.0031235500000000005
278,2024-04-02,XBB.1.5.X,1.5300000000000002e-06
279,2023-08-02,XBB.1.5.X,0.48803769999999985
280,2024-02-05,XBB.1.5.X,0.0
281,2024-12-05,XBB.1.5.X,0.0
282,2022-03-08,XBB.1.5.X,0.0
283,2023-01-10,XBB.1.5.X,0.4649938800000002
284,2024-06-25,XBB.1.5.X,6.3e-07
285,2024-04-04,XBB.1.5.X,0.0
286,2023-09-20,XBB.1.5.X,0.17527832
287,2024-11-22,XBB.1.5.X,2.4e-07
288,2022-06-14,XBB.1.5.X,0.0
289,2024-08-23,XBB.1.5.X,0.0
290,2024-02-23,XBB.1.5.X,0.0
291,2024-10-21,XBB.1.5.X,0.0
292,2023-11-15,XBB.1.5.X,0.12248207000000001
293,2022-09-06,XBB.1.5.X,0.0
294,2024-05-16,XBB.1.5.X,0.0
295,2023-04-24,XBB.1.5.X,0.23549457999999998
296,2024-06-18,XBB.1.5.X,2.6e-07
297,2024-03-06,XBB.1.5.X,0.0
298,2024-10-08,XBB.1.5.X,2.7e-06
299,2024-05-07,XBB.1.5.X,0.0
300,2024-11-27,XBB.1.5.X,0.0
301,2024-11-26,XBB.1.5.X,3.6e-07
302,2024-09-03,XBB.1.5.X,0.0
303,2024-08-20,XBB.1.5.X,0.0
304,2023-07-26,XBB.1.5.X,0.00183087
305,2024-03-13,XBB.1.5.X,0.0
306,2024-08-20,XBB.1.5.X,7.5e-07
307,2023-03-27,XBB.1.5.X,0.6691720100000002
308,2023-08-25,XBB.1.5.X,0.73355803
309,2024-09-12,XBB.1.5.X,8.06e-06
310,2024-09-25,XBB.1.5.X,0.0
311,2022-08-10,XBB.1.5.X,0.0
312,2024-04-17,XBB.1.5.X,0.0
313,2024-02-16,XBB.1.5.X,0.0
314,2024-04-18,XBB.1.5.X,3.5e-07
315,2024-12-18,XBB.1.5.X,0.0
316,2024-04-23,XBB.1.5.X,2e-07
317,2022-03-22,XBB.1.5.X,0.0
318,2021-12-21,XBB.1.5.X,3.192e-05
319,2025-01-29,XBB.1.5.X,0.0
320,2023-08-15,XBB.1.5.X,0.4953653300000001
321,2024-07-17,XBB.1.5.X,0.0
322,2022-10-26,XBB.1.5.X,0.0
323,2024-10-23,XBB.1.5.X,0.0
324,2023-04-19,XBB.1.5.X,0.00070645
325,2024-05-23,XBB.1.5.X,5.481e-05
326,2023-05-09,XBB.1.5.X,0.8071400799999999
327,2022-11-28,XBB.1.5.X,0.0
328,2024-08-01,XBB.1.5.X,0.0
329,2024-04-03,XBB.1.5.X,0.0
330,2024-04-28,XBB.1.5.X,0.0
331,2023-10-26,XBB.1.5.X,0.08068709000000002
332,2022-04-19,XBB.1.5.X,0.0
333,2023-10-09,XBB.1.5.X,0.07392338999999999
334,2024-02-20,XBB.1.5.X,0.0
335,2024-07-16,XBB.1.5.X,0.0
336,2024-11-27,XBB.1.5.X,0.0
337,2024-11-11,XBB.1.5.X,0.0
338,2024-05-14,XBB.1.5.X,0.0
339,2024-09-27,XBB.1.5.X,9.4e-07
340,2024-03-28,XBB.1.5.X,1.43e-06
341,2023-08-03,XBB.1.5.X,0.7126664600000001
342,2023-05-09,XBB.1.5.X,0.82570998
343,2022-10-17,XBB.1.5.X,0.0
344,2023-04-25,XBB.1.5.X,0.77053375
345,2022-11-30,XBB.1.5.X,0.0
346,2025-01-14,XBB.1.5.X,0.0
347,2022-05-03,XBB.1.5.X,0.0
348,2023-10-03,XBB.1.5.X,0.20248742999999997
349,2024-10-15,XBB.1.5.X,0.0
350,2023-09-29,XBB.1.5.X,0.08441785999999998
351,2024-08-14,XBB.1.5.X,0.0
352,2023-04-25,XBB.1.5.X,0.99946624
353,2024-04-09,XBB.1.5.X,1.0700000000000001e-06
354,2024-10-08,XBB.1.5.X,3.2e-07
355,2023-04-05,XBB.1.5.X,0.34666262
356,2022-09-13,XBB.1.5.X,0.0
357,2021-12-21,XBB.1.5.X,0.0
358,2024-08-26,XBB.1.5.X,0.0
359,2024-08-07,XBB.1.5.X,0.0
360,2023-09-20,XBB.1.5.X,0.015575460000000003
361,2024-02-28,XBB.1.5.X,0.0
362,2022-06-21,XBB.1.5.X,0.0
363,2022-10-24,XBB.1.5.X,0.0
364,2024-09-03,XBB.1.5.X,0.0
365,2024-01-15,XBB.1.5.X,0.0
366,2024-02-26,XBB.1.5.X,0.0
367,2025-02-18,XBB.1.5.X,0.0
368,2023-10-04,XBB.1.5.X,0.0
369,2023-10-09,XBB.1.5.X,0.0
370,2024-06-25,XBB.1.5.X,0.0
371,2022-01-04,XBB.1.5.X,1.859e-05
372,2023-05-31,XBB.1.5.X,0.5399319900000003
373,2022-04-19,XBB.1.5.X,0.0
374,2024-08-14,XBB.1.5.X,0.0
375,2023-10-25,XBB.1.5.X,0.05749045999999999
376,2024-07-17,XBB.1.5.X,0.0
377,2023-05-09,XBB.1.5.X,0.99999999
378,2024-08-12,XBB.1.5.X,2.5e-06
379,2024-11-19,XBB.1.5.X,0.0
380,2024-07-31,XBB.1.5.X,0.0
381,2023-03-29,XBB.1.5.X,0.34355294
382,2024-07-24,XBB.1.5.X,3.9e-07
383,2024-08-27,XBB.1.5.X,1.02e-06
384,2023-09-27,XBB.1.5.X,0.31445313
385,2023-12-06,XBB.1.5.X,0.0
386,2024-06-10,XBB.1.5.X,0.0
387,2024-10-04,XBB.1.5.X,8.901e-05
388,2023-09-06,XBB.1.5.X,0.32205090000000003
389,2024-05-09,XBB.1.5.X,0.0
390,2022-03-28,XBB.1.5.X,3.724e-05
391,2022-08-10,XBB.1.5.X,0.0
392,2023-03-06,XBB.1.5.X,0.99841063
393,2023-11-02,XBB.1.5.X,0.15147172
394,2024-11-13,XBB.1.5.X,0.0
395,2023-11-08,XBB.1.5.X,0.0
